R2_1-m/m	R2_2-m/m	R2_3-m/m	e1	e2
-0.00000119	-0.00000067	-0.00000204	-0.00000265	-0.00000058
-0.00000135	-0.00000205	-0.00000234	-0.00000239	-0.00000131
0.00000102	-0.00000244	-0.00000241	-0.00000314	0.00000175
-0.00000361	-0.00000287	-0.00000190	-0.00000362	-0.00000190
-0.00000156	-0.00000134	-0.00000267	-0.00000306	-0.00000116
-0.00000284	-0.00000168	-0.00000120	-0.00000291	-0.00000113
-0.00000026	-0.00000174	-0.00000021	-0.00000174	0.00000128
-0.00000136	0.00000104	-0.00000062	-0.00000306	0.00000108
-0.00000089	-0.00000143	-0.00000223	-0.00000224	-0.00000088
-0.00000218	0.00000061	-0.00000418	-0.00000711	0.00000074
-0.00000082	-0.00000130	-0.00000186	-0.00000187	-0.00000082
-0.00000350	-0.00000235	-0.00000110	-0.00000350	-0.00000109
-0.00000166	-0.00000206	-0.00000125	-0.00000209	-0.00000082
-0.00000334	-0.00000295	-0.00000272	-0.00000335	-0.00000271
-0.00000015	-0.00000207	-0.00000270	-0.00000285	-0.00000000
-0.00000083	-0.00000081	-0.00000250	-0.00000286	-0.00000047
-0.00000335	-0.00000198	-0.00000356	-0.00000494	-0.00000198
-0.00000195	-0.00000276	-0.00000097	-0.00000285	-0.00000007
-0.00000107	-0.00000212	-0.00000119	-0.00000212	-0.00000013
-0.00000096	-0.00000170	-0.00000220	-0.00000221	-0.00000095
-0.00000231	-0.00000164	-0.00000227	-0.00000294	-0.00000164
-0.00000177	-0.00000251	-0.00000331	-0.00000331	-0.00000176
-0.00000297	-0.00000215	-0.00000159	-0.00000298	-0.00000158
-0.00000104	-0.00000162	-0.00000057	-0.00000166	0.00000005
-0.00000143	-0.00000167	-0.00000218	-0.00000220	-0.00000141
-0.00000106	-0.00000305	-0.00000268	-0.00000330	-0.00000044
-0.00000163	-0.00000184	-0.00000199	-0.00000200	-0.00000163
-0.00000278	-0.00000148	-0.00000085	-0.00000283	-0.00000079
-0.00000179	-0.00000248	0.00000008	-0.00000273	0.00000103
-0.00000100	-0.00000066	-0.00000233	-0.00000287	-0.00000046
-0.00000227	-0.00000211	-0.00000152	-0.00000233	-0.00000146
-0.00000179	-0.00000266	-0.00000248	-0.00000277	-0.00000150
-0.00000064	-0.00000224	-0.00000173	-0.00000237	0.00000000
-0.00000260	-0.00000186	-0.00000218	-0.00000296	-0.00000182
-0.00000246	-0.00000289	-0.00000319	-0.00000320	-0.00000245
