,WIKA_A10[mV]
0,
1,
2,
3,
4,-0.00039735199999999996
5,-0.00038121039999999996
6,-0.0002054234
7,-0.00012583359999999996
8,-8.985039999999999e-05
9,0.00015387700000000002
10,-3.6132000000000006e-05
11,-0.00046774340000000004
12,-0.00031046499999999995
13,-0.0002633544
14,-0.00026769740000000004
15,0.00012089459999999999
16,0.0004832238
17,0.0004770076
18,0.000566439
19,0.0004931866
20,0.0005512106
21,0.0006436802000000001
22,0.0006452363999999999
23,0.0006074174
24,0.000538918
25,0.0004235968
26,0.0003602978
27,0.00032753000000000003
28,0.00021906779999999998
29,0.0001989374
30,0.0002372598
31,-0.00010091280000000007
32,-0.00024190020000000004
33,-2.1136400000000034e-05
34,4.0988399999999955e-05
35,2.1976199999999964e-05
36,0.00040108059999999994
37,0.0005826458
38,0.0003827208
39,0.00023662599999999993
40,1.1686999999999961e-05
41,-2.6821600000000038e-05
42,-0.00034195600000000003
43,-0.00045981219999999994
44,-0.0003743510000000001
45,-0.0001950594
46,-0.00022629899999999998
47,-8.415580000000001e-05
48,0.0002764772
49,0.00039783760000000005
50,0.0004904934
51,0.0006253673999999999
52,0.0007793092
53,0.0006076785999999999
54,0.0006228324000000001
55,0.0005000365999999999
56,6.391439999999999e-05
57,-0.00012574040000000003
58,-0.00016611300000000001
59,-0.0001408756
60,-6.993440000000001e-05
61,0.00014469699999999997
62,0.00022052179999999997
63,0.00031867619999999996
64,0.00025502319999999996
65,0.00027177979999999994
66,-3.224560000000005e-05
67,0.00010262819999999994
68,8.369079999999997e-05
69,5.690619999999996e-05
70,-0.0001600736
71,-8.36840000000001e-06
72,-2.41186e-05
73,-4.77534e-05
74,7.61418e-05
75,0.000302106
76,0.0003290584
77,-0.00020449120000000002
78,-0.00010313080000000005
79,-0.00022359660000000007
80,-0.00044889920000000007
81,-0.0004294584
82,-0.00026060520000000003
83,-0.00035100560000000003
84,-0.000359859
85,-9.302819999999998e-05
86,-0.0002328974
87,0.0001675492
88,0.0013394385999999999
89,0.0014053936
90,0.001425729
91,0.0021236771999999997
92,0.0019888406
93,0.0009194114
94,0.0008636706
95,0.0007656653999999999
96,0.0002604474
97,0.00034523759999999996
98,0.00021301979999999998
99,0.00031020500000000003
100,0.00042248800000000005
101,0.0006180141999999999
102,0.0004994682
103,0.0005139414
104,0.00045867579999999997
105,0.0004223664
106,0.00035138780000000004
107,0.00040649480000000003
108,0.0005260660000000001
109,0.0014252628
110,0.002366547
111,0.0034325282
112,0.0046740076
113,0.0056330922
114,0.0047762068
115,0.0036398066
116,0.0025613
117,0.001278488
118,0.0008869137999999999
119,0.0007515924
120,0.0020618039999999995
121,0.0032354453999999997
122,0.0032666849999999996
123,0.0037060131999999994
124,0.0049089372000000004
125,0.0042682582
126,0.004150868
127,0.0053022728000000005
128,0.005304789
129,0.0052347052
130,0.005647891600000001
