Selected,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx,Default
0,1004285007,SIMPLEX OFFICE SOLUTIONS,ANAHEIM,CA,92801,CALIFORNIA BANK & TRUST,CA,532420,15074,2001,36,1,1.0,0,0,1,0,Y,N,,15095.0,32812,0,P I F,0,30000,15000,0,0,0.5,0,1080,16175.0,0
0,1005005006,"Winset, Inc. dba Bankers Hill",SAN DIEGO,CA,92103,CALIFORNIA BANK & TRUST,CA,531210,15188,2001,36,10,1.0,0,0,1,0,Y,N,,15218.0,30000,0,P I F,0,30000,15000,0,0,0.5,0,1080,16298.0,0
0,1015066002,SUPERIOR BROKERS REALTY,HUNTINGTON PARK,CA,90255,U.S. BANK NATIONAL ASSOCIATION,OH,531210,16841,2006,269,2,1.0,0,2,1,1,0,N,18641.0,16860.0,297500,0,CHGOFF,247074,297500,223125,0,1,0.75,0,8070,24930.0,1
0,1015266003,LIBERTY REALTY CO,LONG BEACH,CA,90808,JPMORGAN CHASE BANK NATL ASSOC,NV,531210,16841,2006,84,1,2.0,2,1,1,2,Y,N,,16860.0,67047,0,P I F,0,30000,15000,1,0,0.5,0,2520,19380.0,0
0,1018975003,"SOUTHLAND MGT., CO.",SANTA ANA,CA,92704,BANK OF AMERICA NATL ASSOC,NC,531390,16252,2004,22,5,1.0,0,0,1,1,N,N,18189.0,16283.0,50000,0,CHGOFF,35333,50000,25000,0,0,0.5,0,660,16943.0,1
0,1035365010,"Tenant Guarantors, Inc",GRANITE BAY,CA,95746,BANK OF AMERICA NATL ASSOC,NC,531311,16289,2004,84,12,1.0,0,0,1,1,Y,N,,16314.0,33276,0,P I F,0,25000,12500,0,0,0.5,0,2520,18834.0,0
0,1041204008,"RED AND BLUE, INC.",SAN DIEGO,CA,92101,U.S. BANK NATIONAL ASSOCIATION,CA,532111,13590,1997,300,15,1.0,0,0,1,0,N,N,,13634.0,1000000,0,P I F,0,1000000,750000,0,1,0.75,0,9000,22634.0,0
0,1048826001,Todd Key & Alan Smiley,RIVERSIDE,CA,92507,CDC SMALL BUS. FINAN CORP,CA,531210,16848,2006,240,13,1.0,8,0,1,1,0,N,,16994.0,249000,0,P I F,0,249000,249000,0,1,1.0,0,7200,24194.0,0
0,1077145001,DESERT REALTY & DEVELOPMENT CO,INGLEWOOD,CA,90305,BANK OF AMERICA NATL ASSOC,NC,531210,16350,2005,67,12,1.0,0,0,1,1,N,N,16932.0,16375.0,50000,0,CHGOFF,50000,50000,25000,0,0,0.5,0,2010,18385.0,1
0,1091405003,THE FRANK TEHAN CORPORATION,KENSINGTON,CA,94707,CAPITAL ONE NATL ASSOC,VA,532299,16371,2005,84,3,1.0,0,0,1,1,N,N,,16405.0,25000,0,P I F,0,25000,12500,0,0,0.5,0,2520,18925.0,0
0,1092745002,Imagine Designs Inc.,MORGAN HILL,CA,95037,BANK OF AMERICA NATL ASSOC,NC,533110,16372,2005,84,2,1.0,0,0,1,1,Y,N,,16405.0,32697,0,P I F,0,25000,12500,0,0,0.5,0,2520,18925.0,0
0,1097055006,Artur Ambarachyan dba Millenni,GLENDALE,CA,91208,BANK OF AMERICA NATL ASSOC,NC,531210,16378,2005,84,4,1.0,0,0,1,1,Y,N,,16405.0,25000,0,P I F,0,25000,12500,0,0,0.5,0,2520,18925.0,0
0,1101815002,"Shaky, Inc.",STUDIO CITY,CA,91604,BANK OF AMERICA NATL ASSOC,NC,531210,16385,2005,34,1,2.0,0,0,1,1,N,N,18004.0,16467.0,12750,0,CHGOFF,8415,10000,5000,1,0,0.5,0,1020,17487.0,1
0,1105055007,"PORTFOLIO SERVICES GROUP, INC.",LAGUNA HILLS,CA,92656,CAPITAL ONE NATL ASSOC,VA,531320,16391,2005,84,1,1.0,0,0,1,1,N,N,,16436.0,35000,0,P I F,0,35000,17500,0,0,0.5,0,2520,18956.0,0
0,1113545001,"Boels, Inc. dba Automated Regi",FOUNTAIN VALLEY,CA,92708,CAPITAL ONE NATL ASSOC,VA,532490,16401,2005,84,8,1.0,0,0,1,1,N,N,,16467.0,100000,0,P I F,0,100000,50000,0,0,0.5,0,2520,18987.0,0
0,1122875008,Patty Schwartzkopf Properties,MAMMOTH LAKES,CA,93546,BANK OF AMERICA NATL ASSOC,NC,531210,16413,2005,84,2,1.0,0,0,1,2,Y,N,,16587.0,11000,0,P I F,0,11000,5500,0,0,0.5,0,2520,19107.0,0
0,1123945007,ROBERT S PERDUE DBA ROBERT SHE,TEMECULA,CA,92590,CAPITAL ONE NATL ASSOC,VA,531320,16414,2005,84,7,1.0,0,0,1,1,N,N,,16436.0,50000,0,P I F,0,50000,25000,0,0,0.5,0,2520,18956.0,0
0,1127975002,ABC Enterprises of Southern Ca,ADELANTO,CA,92301,BANK OF AMERICA NATL ASSOC,NC,531390,16418,2005,56,3,1.0,0,0,1,1,Y,N,17345.0,16467.0,25009,0,CHGOFF,24952,25000,12500,0,0,0.5,0,1680,18147.0,1
0,1136545004,"Villarino Financial, Inc. dba",La Mesa,CA,91941,CALIFORNIA BANK & TRUST,CA,531210,16426,2005,84,6,1.0,0,0,1,1,Y,N,,16436.0,229540,0,P I F,0,100000,50000,0,0,0.5,0,2520,18956.0,0
0,1137015000,Salay Bangura dba Lungi Enterp,WALNUT,CA,91789,BANK OF AMERICA NATL ASSOC,NC,531390,16426,2005,61,4,1.0,0,0,1,1,T,N,17170.0,16436.0,10000,0,CHGOFF,10000,10000,5000,0,0,0.5,0,1830,18266.0,1
0,1138035008,"Priceless Cars & Trucks Ent.,",ANAHEIM,CA,92801,CALIFORNIA BANK & TRUST,CA,532120,16427,2005,42,10,1.0,0,0,1,1,N,N,18484.0,16436.0,100000,0,CHGOFF,61325,100000,50000,0,0,0.5,1,1260,17696.0,1
0,1168925005,"Desert Resort Management, Inc.",Palm Desert,CA,92260,CAPITAL ONE NATL ASSOC,VA,531390,16461,2005,84,58,1.0,4,58,1,1,N,N,,16495.0,100000,0,P I F,0,100000,50000,0,0,0.5,0,2520,19015.0,0
0,1168985001,Claudio Gonzalez dba A & A Pro,ADELANTO,CA,92301,BANK OF AMERICA NATL ASSOC,NC,531311,16461,2005,53,2,1.0,1,2,1,1,Y,N,17477.0,16495.0,25000,0,CHGOFF,25000,25000,12500,0,0,0.5,0,1590,18085.0,1
0,1173345002,Casa Grande Real Estate,SANTA ANA,CA,92701,BANK OF AMERICA NATL ASSOC,NC,531210,16463,2005,42,12,2.0,0,12,1,1,T,N,17868.0,16495.0,20000,0,CHGOFF,10000,10000,5000,1,0,0.5,1,1260,17755.0,1
0,1176946007,CENTURY 21 GOLD DUST REALTY,GRASS VALLEY,CA,95945,GREATER SACRAMENTO CERT. DEVEL,CA,531210,16859,2006,240,13,1.0,6,13,15710,2,0,N,,17148.0,229000,0,P I F,0,229000,229000,0,1,1.0,0,7200,24348.0,0
0,1177475003,"Vu-Color, Inc.",YORBA LINDA,CA,92887,BANK OF AMERICA NATL ASSOC,NC,532490,16469,2005,84,4,1.0,0,4,1,1,Y,N,,16495.0,50000,0,P I F,0,50000,25000,0,0,0.5,0,2520,19015.0,0
0,1182995000,"BRAD T. EVANS HOLDINGS, INC.",FAIR OAKS,CA,95628,CAPITAL ONE NATL ASSOC,VA,531210,16471,2005,84,4,1.0,1,4,1,1,N,N,,16495.0,50000,0,P I F,0,50000,25000,0,0,0.5,0,2520,19015.0,0
0,1192835002,Chan Yop Cho,Corona,CA,92879,WILSHIRE BANK,CA,532230,16478,2005,60,2,1.0,0,2,1,1,N,N,,16526.0,60000,0,P I F,0,60000,30000,0,0,0.5,0,1800,18326.0,0
0,1196525000,TR Benefits Insurance Services,DANVILLE,CA,94526,BANK OF AMERICA NATL ASSOC,NC,531210,16482,2005,84,4,1.0,0,4,1,1,Y,N,,16526.0,58602,0,P I F,0,50000,25000,0,0,0.5,0,2520,19046.0,0
0,1199354007,RED CARPET VIDEO,SAN DIEGO,CA,92115,FIRST BANK,CA,532230,13648,1997,119,3,1.0,0,0,1,0,N,Y,,13665.0,100000,0,P I F,0,100000,80000,0,0,0.8,0,3570,17235.0,0
0,1210706010,CENTURY 21 ALL PRO,ANAHEIM,CA,92807,CDC SMALL BUS. FINAN CORP,CA,531210,16861,2006,240,345,1.0,20,0,1,1,0,N,,17057.0,568000,0,P I F,0,568000,568000,0,1,1.0,0,7200,24257.0,0
0,1227735008,Esprit Funding,ANAHEIM,CA,92807,BANK OF AMERICA NATL ASSOC,NC,531210,16506,2005,42,4,1.0,0,4,1,1,N,N,17910.0,16587.0,33500,0,CHGOFF,20953,22000,11000,0,0,0.5,1,1260,17847.0,1
0,1241275008,"C & D Wellbeloved, Inc. DBA He",PLEASANTON,CA,94588,BANK OF AMERICA NATL ASSOC,NC,531210,16517,2005,84,1,2.0,0,1,37481,1,Y,N,,16556.0,10000,0,P I F,0,10000,5000,1,0,0.5,0,2520,19076.0,0
0,1241435008,"Los Angeles Properties, Inc. D",TORRANCE,CA,90504,BANK OF AMERICA NATL ASSOC,NC,531210,16517,2005,30,16,1.0,0,16,1,1,N,N,18193.0,16526.0,81937,0,CHGOFF,48632,60000,30000,0,0,0.5,0,900,17426.0,1
0,1245455000,Eastlake Realty and Mortgage C,CHULA VISTA,CA,91914,BANK OF AMERICA NATL ASSOC,NC,531210,16520,2005,84,2,2.0,0,2,1,1,Y,N,,16709.0,10000,0,P I F,0,10000,5000,1,0,0.5,0,2520,19229.0,0
0,1247315008,REYES PROPERTY MANAGEMENT GROU,SAN YSIDRO,CA,92173,CAPITAL ONE NATL ASSOC,VA,531311,16523,2005,84,4,1.0,2,4,1,1,N,N,,16556.0,35000,0,P I F,0,35000,17500,0,0,0.5,0,2520,19076.0,0
0,1252285006,Investment Property Group,PALOS VERDES PENINSULA,CA,90274,BANK OF AMERICA NATL ASSOC,NC,531210,16526,2005,84,4,1.0,1,4,1,1,Y,N,,16556.0,139892,0,P I F,0,47900,23950,0,0,0.5,0,2520,19076.0,0
0,1256744003,STEVEN OH AJAX RENT A CAR,LOS ANGELES,CA,90006,HANMI BANK,CA,532111,13653,1997,300,5,1.0,0,0,1,0,N,N,,13787.0,504000,0,P I F,0,504000,378000,0,1,0.75,0,9000,22787.0,0
0,1260605006,"Parto Enterprises, Inc.",HUNTINGTON BEACH,CA,92649,BANK OF AMERICA NATL ASSOC,NC,531312,16533,2005,71,12,1.0,0,12,1,1,T,N,16985.0,16556.0,50000,0,CHGOFF,49725,50000,25000,0,0,0.5,0,2130,18686.0,1
0,1262665006,Mercury Capital Group Inc.,SAN DIEGO,CA,92101,BANK OF AMERICA NATL ASSOC,NC,531210,16537,2005,29,18,1.0,0,18,1,1,Y,N,18287.0,16587.0,50000,0,CHGOFF,50000,50000,25000,0,0,0.5,0,870,17457.0,1
0,1264815007,Tammy Cho dba LA Hit Video,Los Angeles,CA,90016,CALIFORNIA BANK & TRUST,CA,532230,16538,2005,73,6,1.0,1,6,1,1,Y,N,16939.0,16556.0,82804,0,CHGOFF,48304,50000,25000,0,0,0.5,0,2190,18746.0,1
0,1266005004,New Integrity Mortgage Corpora,DOWNEY,CA,90242,BANK OF AMERICA NATL ASSOC,NC,531210,16538,2005,42,5,1.0,12,5,1,1,Y,N,17933.0,16556.0,35000,0,CHGOFF,33294,35000,17500,0,0,0.5,1,1260,17816.0,1
0,1267495002,Kutzer Management Company Inco,SOUTH PASADENA,CA,91030,BANK OF AMERICA NATL ASSOC,NC,531312,16539,2005,84,12,1.0,3,12,1,1,Y,N,,16556.0,111500,0,P I F,0,90000,45000,0,0,0.5,0,2520,19076.0,0
